Cooling Degree Days South Atlantic Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_SAC.M
22:28:56 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_SAC.M total degree days
Feb 2003,34.819640378
Jan 2003,9.3837649399
Dec 2002,21.733769818
Nov 2002,37.3507074
Oct 2002,160.64487593
Sep 2002,310.22184911
Aug 2002,430.14804569
Jul 2002,455.39730118
Jun 2002,342.62538035
May 2002,182.67360767
Apr 2002,123.40823538
Mar 2002,63.615162078
Feb 2002,27.553808097
Jan 2002,32.764949859
Dec 2001,50.754401014
Nov 2001,61.88688973
Oct 2001,102.38521671
Sep 2001,210.97842451
Aug 2001,420.72784643
Jul 2001,369.16269271
Jun 2001,328.14395619
May 2001,173.40138835
Apr 2001,77.282578
Mar 2001,44.725672908
Feb 2001,50.445802502
Jan 2001,10.612136291
Dec 2000,21.049507025
Nov 2000,36.684805583
Oct 2000,100.29919816
Sep 2000,238.22164726
Aug 2000,380.63263532
Jul 2000,391.33458418
Jun 2000,348.43141588
May 2000,231.08103065
Apr 2000,56.211256592
Mar 2000,69.575245858
Feb 2000,27.035202965
Jan 2000,27.266074156
Dec 1999,27.011586161
Nov 1999,52.830610151
Oct 1999,114.62762551
Sep 1999,239.14523246
Aug 1999,447.62284896
Jul 1999,467.60238396
Jun 1999,301.49020044
May 1999,162.75588833
Apr 1999,103.99165894
Mar 1999,30.759443053
Feb 1999,30.287496447
Jan 1999,39.950466782
Dec 1998,50.977334885
Nov 1998,72.989683541
Oct 1998,145.95151535
Sep 1998,322.25146056
Aug 1998,423.53062591
Jul 1998,462.39556553
Jun 1998,388.6007766
May 1998,229.74457841
Apr 1998,70.376642284
Mar 1998,31.190438252
Feb 1998,25.532832027
Jan 1998,38.749979598
Dec 1997,25.588213219
Nov 1997,40.63491226
Oct 1997,107.54640845
Sep 1997,250.87304533
Aug 1997,363.65132878
Jul 1997,431.2709904
Jun 1997,261.21898737
May 1997,139.01299958
Apr 1997,56.756553384
Mar 1997,91.760420644
Feb 1997,47.968637114
Jan 1997,31.111217145
Dec 1996,29.021469621
Nov 1996,45.832747543
Oct 1996,105.42384829
Sep 1996,243.40390182
Aug 1996,357.8278496
Jul 1996,406.61106509
Jun 1996,322.78206831
May 1996,202.22312563
Apr 1996,55.000401074
Mar 1996,23.277406345
Feb 1996,18.837914754
Jan 1996,22.040905004
Dec 1995,18.437970319
Nov 1995,35.579896956
Oct 1995,145.90824205
Sep 1995,243.45683924
Aug 1995,446.06423333
Jul 1995,454.54486962
Jun 1995,296.1962583
May 1995,214.21782646
Apr 1995,81.451896404
Mar 1995,56.808760022
Feb 1995,19.738483361
Jan 1995,21.199728671
Dec 1994,38.489732981
Nov 1994,75.158248689
Oct 1994,112.57837335
Sep 1994,213.54599434
Aug 1994,336.83953757
Jul 1994,417.28388718
Jun 1994,366.53613164
May 1994,152.35592154
Apr 1994,102.15700177
Mar 1994,54.280909495
Feb 1994,42.960156589
Jan 1994,25.854701485
Dec 1993,16.771911483
Nov 1993,51.465827084
Oct 1993,114.2323997
Sep 1993,279.06453145
Aug 1993,419.51154372
Jul 1993,499.59283908
Jun 1993,330.17317071
May 1993,167.43965122
Apr 1993,37.982485469
Mar 1993,29.326438465
Feb 1993,19.425337288
Jan 1993,52.154876973
Dec 1992,30.483166458
Nov 1992,60.608996492
Oct 1992,86.745876887
Sep 1992,248.19964615
Aug 1992,324.54612813
Jul 1992,441.52870395
Jun 1992,262.00000421
May 1992,115.20900499
Apr 1992,51.263569839
Mar 1992,38.137348506
Feb 1992,31.859121614
Jan 1992,21.725521238
Dec 1991,38.377105117
Nov 1991,33.451703955
Oct 1991,112.75408196
Sep 1991,254.20332396
Aug 1991,399.44652031
Jul 1991,452.19491119
Jun 1991,326.81750804
May 1991,264.64277731
Apr 1991,105.922416
Mar 1991,56.011972826
Feb 1991,30.385396387
Jan 1991,46.82536899
Dec 1990,41.806957681
Nov 1990,52.467769185
Oct 1990,137.90946524
Sep 1990,257.7243197
Aug 1990,399.1514956
Jul 1990,432.70444276
Jun 1990,326.6202538
May 1990,183.40475946
Apr 1990,63.070437952
Mar 1990,61.332776431
Feb 1990,52.924955714
Jan 1990,51.795660668
